playerID,wraa
abbotan01,
abelmi01,
abelmi01,
abnerph01,
abramcj01,6.730392801036464
abreubr01,
abreuwi02,5.906301478551259
acostma02,-0.626804149415691
actonga01,
acunalu01,-5.736079616237053
acunaro01,29.976029645593705
adamewi01,6.580379071210349
adamja01,
adamsjo03,-1.2625556615596092
adamsri03,-14.524023169070214
adamstr01,
adcocty01,
adelljo01,8.199328687006059
agnosza01,
ahmedni01,-1.9641529753383322
akinke01,
albieoz01,-10.125958761918003
alcaljo01,
alcaljo01,
alcaljo01,
alcanke01,0.40815023533858574
alcansa01,
alcanse01,-1.0033397777620758
aldegsa01,
alexabl01,2.87334555848473
alexacj01,-2.2276147604336494
alexaja01,
alexaja01,
alexasc01,
alexasc01,
alexaty01,
alexaty01,-0.2545384979447468
alfarjo01,-2.1314638532143024
allarko01,
allengr01,-3.5351558523669055
allenlo02,
allenni02,-14.553259821940912
alonspe01,35.0015629187583
altavda01,
altuvjo01,11.106089312503727
alvaran01,
alvarel01,
alvarfr01,7.96147110295718
alvarjo03,
alvarna01,-3.7226714643086116
alvaryo01,4.09187143575805
amadoad01,-6.424089764522721
amayaja01,-10.327831739624461
amayami01,3.9678517945165246
andergr01,
anderia01,
anderni01,
andersh01,
anderti01,-5.227586700138228
anderty01,
andujmi01,2.1712236866529118
andujmi01,7.789495251189363
anthoro01,14.12327169106359
arandjo01,22.782148171964987
arciaor01,-2.9782604434435784
arciaor01,-13.480645526811955
arenano01,-8.049512884180102
ariasga01,-11.882708414119364
ariaslu01,
armstsh01,
arozara01,16.847946168672756
arraelu01,15.607841419785446
arrigsp01,
ashbyaa01,
ashcrbr01,
ashcrgr01,
assadja01,
avansdr01,-2.4291151363476224
avansdr01,-0.758562909535325
avilalu02,
azocajo01,-0.28872199180014657
azocajo01,-0.2543211412243172
bachala01,
bachmsa01,
backhky01,
baddoak01,-2.2872634707151525
baderha01,6.244272240834204
baderha01,6.732187041907578
baeji01,-2.875612673068108
baezja01,-7.121543755561266
bailepa01,-11.826800166125997
bakerbr01,
bakerbr01,
bakerlu01,0.26465729116374653
baldwbr01,0.8727730492235386
baldwdr01,13.547435493888274
ballemo01,3.415075949146127
bandaan01,
banfiwi01,-1.8767012846539908
banksta01,
banueda01,0.08140835396717505
barcohu01,
bargead01,3.8586831041711145
barlosc01,
barneau01,-1.9751599885370597
barneja01,
barnema02,
barnhtu01,-0.49122244002244575
barrojo01,-8.917864966303602
bartjo01,0.36850185960368065
basalsa01,-6.221689728162348
bassich01,
bassobr01,
batybr01,5.6475871401816296
bauerja01,3.7959923535741846
bautife01,
bazared01,
bazsh01,
beavedy01,4.9890994114953
beckjo01,-5.342008771870168
becktr01,
bednada01,
bednada01,
beeksja01,
beetecl01,
beetecl01,
bellico01,19.170823864746875
belljo02,4.917222898876086
bellobr01,
bellova01,
bendean01,
beninan01,1.2840979034587332
bensowi01,-4.308698909854138
bergery01,
bergery01,
bernabr01,
bernawa01,-3.414621328913284
berrijo01,
berrost01,-0.955695403456078
bertijo01,-7.294377969311051
bettsmo01,3.2531203644142197
bibeeta01,
bichebo01,24.791641920819476
bidoos01,
biebesh01,
biggehu01,
biggica01,-1.9823801774648717
birdja01,
birdja01,
birdsha01,
bivensp01,
blackma01,
blackpa01,
blackpa01,
blackty01,1.252909647271358
blalobr01,
blancda02,1.4633000923574597
blancro01,
bledajj01,-4.192322747678438
blewesc01,
blewesc01,
blewesc01,
blissry01,-1.0959560687546124
blubaaj01,
bogaexa01,3.844667286442812
bohmal01,3.074971573708548
boltoco01,
booseca01,
borucry01,
borucry01,
bouchse01,-6.251857905194827
boushca01,
bowdebe01,
bowlajo01,
bowmama01,
boydma01,
boylejo01,
bradiky01,
bradlta01,
bradlta01,
brantro01,0.3619053529883422
brashma01,
brasiry01,
brazohu01,
brebbjo01,
brebbjo01,
bregmal01,14.716742853714749
brennwi02,-1.422436100907501
bridejo01,-6.262727248190848
bridejo01,-5.108292902842037
briesbe01,
brighje01,
brogdco01,
brooktr01,-3.7531995471552686
brownbe01,
brownhu01,
brownmc01,
brownse01,-3.2066935266145973
brubajt01,
brubajt01,
bruihju01,
brujavi01,-3.1986826952501235
brujavi01,0.4639194050885182
brujavi01,-0.07877015803947156
bryankr01,-4.970120175066282
brzykza01,
bubickr01,
buehlwa01,
buehlwa01,
bummeaa01,
burdini01,
burgeja01,-5.038473046412308
burgoju01,
burgoju01,
burkebr01,
burkese01,
burleal01,16.992853428816233
burneco01,
burnsch01,
burromi01,
burrry01,
buschmi02,28.22705673528345
butlela01,-1.4522535089606834
buttojo01,
buttojo01,
buxtoby01,23.05938349864263
cabaljo01,-2.132819761104821
cabaljo01,4.747649871074145
cabreed02,
cabrege01,
cabrege01,
cabrege01,
cabrege01,
cabreos01,-1.4852379218278409
caglija01,-14.75486297639509
caissow01,-1.4114233919728336
callal01,9.59128565012803
callal01,1.321892914757967
callity01,-0.8394485558322186
camerda01,-3.089257271041134
camerno01,
caminju01,22.328328141214456
campbis01,
campbkr01,-4.3196109210771265
campegu01,-2.0260987559195667
campulu01,-3.3578049301677524
canaral01,-8.68342138666507
candeje01,-9.621253508289563
canhama01,-7.489158916934021
cannigr01,
cannojo02,
canoye01,
cantijo01,
canzodo01,12.971540378835208
capravi01,-8.15147281021027
capravi01,-2.307548987249742
caratvi01,1.879494682604467
carlsdy01,-7.472837778499568
carpeke01,7.848902279523071
carraca01,
carraca01,
carrial01,
carroco02,29.9789457471166
carteev01,1.826209186449804
casastr01,-5.755654193945334
caspabe01,
castabl01,
casteni01,-6.935464608102646
castijo03,
castijo03,
castijo03,
castijo03,
castilu02,
castilu03,
castrmi01,
castrwi01,4.472996213082289
castrwi01,-7.7228114376184145
cavalca01,
ceasedy01,
ceccosl01,
chafian01,
chafian01,
chandbu01,
chapaan01,-4.994358881478156
chapmar01,
chapmma01,11.852945921261218
chaveje01,
chengts01,-1.7917746807915944
chishja01,17.151826631749568
chivian01,
chourja01,9.134931639500067
churcma01,
churcna01,-1.9702270192047917
civalaa01,
civalaa01,
civalaa01,
clarkde02,-2.588831053645806
clarkta01,
claseem01,
clasejo01,-3.1189556118993913
cleavga01,
clemeer01,5.162664778159031
